Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-03-28;21.0;8.0;14.5;75.0;30.0;52.5;0;3.72;4.01969867917
2018-03-29;15.0;6.0;10.5;90.0;35.0;62.5;0;4.01969867917;3.51172096672
2018-03-30;11.0;3.0;7.0;80.0;40.0;60.0;1;3.51172096672;2.87412899142
2018-03-31;12.0;2.0;7.0;80.0;40.0;60.0;0;2.87412899142;2.64882098148
2018-04-01;17.0;2.0;9.5;80.0;45.0;62.5;0;2.64882098148;2.87603565104
2018-04-02;17.0;6.0;11.5;80.0;50.0;65.0;1;2.87603565104;2.82445796674
