Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-11;13.0;2.0;7.5;95.0;40.0;67.5;0;1.15;1.761
2018-04-12;12.0;5.0;8.5;95.0;60.0;77.5;1;1.761;1.55622452365
2018-04-13;12.0;5.0;8.5;95.0;60.0;77.5;1;1.55622452365;1.45100568161
2018-04-14;15.0;5.0;10.0;95.0;45.0;70.0;0;1.45100568161;1.97163336822
2018-04-15;19.0;6.0;12.5;85.0;50.0;67.5;0;1.97163336822;2.54022498527
2018-04-16;18.0;10.0;14.0;90.0;55.0;72.5;1;2.54022498527;2.53543412599
