Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-04;15.0;7.0;11.0;95.0;60.0;77.5;0;3.2;2.1719999999999997
2018-04-05;19.0;4.0;11.5;100.0;40.0;70.0;0;2.1719999999999997;2.793026812516564
2018-04-06;21.0;7.0;14.0;80.0;40.0;60.0;0;2.793026812516564;3.337186660766452
2018-04-07;15.0;8.0;11.5;90.0;45.0;67.5;1;3.337186660766452;2.8899195393782975
2018-04-08;15.0;5.0;10.0;85.0;50.0;67.5;1;2.8899195393782975;2.640675832370419
2018-04-09;14.0;3.0;8.5;90.0;50.0;70.0;1;2.640675832370419;2.433022908910284
