Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-03;16.0;9.0;12.5;85.0;50.0;67.5;0;3.62;3.0272486876004825
2018-04-04;15.0;7.0;11.0;85.0;60.0;72.5;1;3.0272486876004825;2.5023086738555382
2018-04-05;20.0;4.0;12.0;95.0;30.0;62.5;0;2.5023086738555382;3.319431091524316
2018-04-06;21.0;8.0;14.5;75.0;40.0;57.5;0;3.319431091524316;3.6495063532860743
2018-04-07;14.0;7.0;10.5;85.0;55.0;70.0;1;3.6495063532860743;2.814167440059591
2018-04-08;14.0;4.0;9.0;90.0;55.0;72.5;1;2.814167440059591;2.44347552377132
