Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-06;21.0;7.0;14.0;85.0;45.0;65.0;1;3.2;3.73
2018-04-07;13.0;7.0;10.0;90.0;55.0;72.5;1;3.73;2.74535435993
2018-04-08;14.0;6.0;10.0;100.0;45.0;72.5;1;2.74535435993;2.50163264208
2018-04-09;11.0;4.0;7.5;100.0;50.0;75.0;1;2.50163264208;2.03698261216
2018-04-10;11.0;3.0;7.0;80.0;60.0;70.0;1;2.03698261216;1.7100805378
2018-04-11;9.0;3.0;6.0;85.0;65.0;75.0;1;1.7100805378;1.22697804119
