Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-09;7.0;3.0;5.0;90.0;65.0;77.5;1;2.56;1.552
2018-04-10;9.0;4.0;6.5;95.0;80.0;87.5;1;1.552;0.805694462606
2018-04-11;12.0;3.0;7.5;90.0;35.0;62.5;1;0.805694462606;1.59639772799
2018-04-12;11.0;4.0;7.5;85.0;65.0;75.0;1;1.59639772799;1.34337482291
2018-04-13;11.0;5.0;8.0;90.0;60.0;75.0;1;1.34337482291;1.26830551227
2018-04-14;15.0;4.0;9.5;85.0;55.0;70.0;0;1.26830551227;1.74004480889
