Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-10;9.0;3.0;6.0;95.0;75.0;85.0;1;1.26;0.784
2018-04-11;12.0;3.0;7.5;90.0;50.0;70.0;1;0.784;1.28528111719
2018-04-12;11.0;5.0;8.0;95.0;65.0;80.0;1;1.28528111719;1.1142856408
2018-04-13;11.0;4.0;7.5;85.0;60.0;72.5;1;1.1142856408;1.18517770536
2018-04-14;14.0;4.0;9.0;85.0;50.0;67.5;0;1.18517770536;1.70528241149
2018-04-15;17.0;4.0;10.5;80.0;55.0;67.5;1;1.70528241149;2.17305054789
