Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-12;11.0;5.0;8.0;95.0;70.0;82.5;1;2.95;1.466
2018-04-13;12.0;4.0;8.0;100.0;60.0;80.0;1;1.466;1.39407651761
2018-04-14;16.0;5.0;10.5;100.0;50.0;75.0;0;1.39407651761;1.91103510334
2018-04-15;15.0;7.0;11.0;80.0;60.0;70.0;0;1.91103510334;1.94998669971
2018-04-16;17.0;7.0;12.0;80.0;45.0;62.5;1;1.94998669971;2.43892534742
2018-04-17;20.0;7.0;13.5;75.0;45.0;60.0;0;2.43892534742;3.00261632632
