Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-03-27;19.0;6.0;12.5;75.0;45.0;60.0;0;3.22;3.33210731122
2018-03-28;20.0;7.0;13.5;80.0;30.0;55.0;0;3.33210731122;3.72433175762
2018-03-29;15.0;6.0;10.5;90.0;40.0;65.0;0;3.72433175762;3.24889498805
2018-03-30;12.0;4.0;8.0;80.0;45.0;62.5;1;3.24889498805;2.70007067606
2018-03-31;13.0;4.0;8.5;80.0;40.0;60.0;0;2.70007067606;2.61907438542
2018-04-01;15.0;5.0;10.0;65.0;40.0;52.5;0;2.61907438542;2.81229750605
