Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-16;16.0;6.0;11.0;90.0;45.0;67.5;0;1.41;1.93642
2018-04-17;21.0;6.0;13.5;80.0;45.0;62.5;0;1.93642;2.83218992227
2018-04-18;24.0;10.0;17.0;70.0;45.0;57.5;0;2.83218992227;3.53858992271
2018-04-19;23.0;9.0;16.0;75.0;35.0;55.0;0;3.53858992271;4.0038976977
2018-04-20;21.0;10.0;15.5;85.0;40.0;62.5;0;4.0038976977;3.88745489988
2018-04-21;22.0;8.0;15.0;95.0;45.0;70.0;0;3.88745489988;3.81164133321
