Fecha;Temperatura Max;Temperatura Min;Temperatura Med;Humedad Max;Humedad Min;Humedad Med;Precipitacion;EvapotranspiracionAnterior;Prediccion
2018-04-05;19.0;4.0;11.5;95.0;35.0;65.0;0;2.46;3.04
2018-04-06;20.0;7.0;13.5;85.0;50.0;67.5;0;3.04;3.20311455723
2018-04-07;13.0;7.0;10.0;85.0;50.0;67.5;1;3.20311455723;2.5599778889
2018-04-08;14.0;6.0;10.0;95.0;45.0;70.0;1;2.5599778889;2.40602894933
2018-04-09;10.0;4.0;7.0;95.0;55.0;75.0;1;2.40602894933;1.79381367838
2018-04-10;9.0;4.0;6.5;90.0;60.0;75.0;1;1.79381367838;1.30856042078
